"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","86","Negative: Special characters as email","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","85","API 2: POST To All Products List should return 405","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","90","Negative: DELETE without email param should return 400","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","98","Negative: GET method on createAccount should not return 201","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","89","API 9: DELETE To Verify Login should return 405","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","90","Negative: XSS injection in email field","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","99","Negative: Extra unknown form params alongside valid credentials","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","97","API 8: POST To Verify Login without email param should return 400","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","95","Negative: POST method on deleteAccount should not return 200","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","87","Negative: Create account without address fields should return 400","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","97","API 3: PUT To All Brands List should return 405","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","88","Negative: Special characters as search_product param","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","83","Negative: Path traversal on searchProduct","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","179","Negative: Random query params should be ignored and return 200","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","95","Negative: Random string path param","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","277","Negative: Wrong param name instead of email","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","86","Negative: Path traversal on verifyLogin","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","90","Negative: POST with unexpected form data","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","98","Negative: Special characters as email in update","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","100","Negative: Path param appended to deleteAccount","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","368","Negative: Update with wrong password for existing account","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","196","Negative: Invalid title value","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","79","API 4: PUT To All Products List should return 405","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","97","Negative: GET method on updateAccount should not return 200","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","295","API 14: Response contains all expected user detail fields","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","91","Negative: Path param appended to createAccount","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
